,state,acclength,areacode,interplan,vmailplan,vmailmess,daycalls,daycharge,evecalls,evecharge,nightcalls,nightcharge,intlmins,intlcalls,intlcharge,custservcalls,churn
1367,RI,134,415,no,no,0,95,24.09,101,17.48,60,9.83,8.8,6,2.38,0,no
1368,VA,127,408,no,yes,25,91,29.41,64,20.89,99,13.5,4.8,3,1.3,0,no
1369,NJ,80,415,no,no,0,120,45.68,147,25.59,140,7.52,5.8,1,1.57,2,yes
1370,MN,85,415,no,no,0,114,43.4,83,16.54,78,12.45,3.7,5,1.0,3,no
1371,HI,79,415,no,no,0,124,7.12,95,17.94,55,10.71,11.4,5,3.08,1,no
1372,ND,35,415,no,no,0,87,44.34,78,21.94,123,5.91,5.8,2,1.57,1,no
1373,WI,120,408,no,yes,26,94,40.7,88,22.05,132,10.71,7.7,3,2.08,0,no
1374,MN,68,510,no,no,0,94,38.54,129,14.31,117,8.49,10.2,1,2.75,0,no
1375,DC,60,408,no,no,0,147,30.48,89,17.76,98,11.17,13.5,6,3.65,1,yes
1376,KS,120,510,no,no,0,110,26.86,103,16.75,132,6.97,10.0,5,2.7,1,no
1377,WV,124,415,no,no,0,107,26.76,112,14.26,102,8.5,8.8,3,2.38,3,no
1378,NY,181,415,yes,no,0,83,27.42,83,10.57,98,11.79,14.1,3,3.81,0,yes
1379,VT,63,415,no,no,0,92,24.23,102,17.71,120,10.3,7.5,2,2.03,2,no
1380,NC,54,415,yes,no,0,108,32.39,108,22.07,111,6.37,9.7,2,2.62,2,yes
1381,MO,80,408,yes,yes,15,110,27.08,120,14.5,82,6.35,11.9,5,3.21,1,no
1382,NC,118,408,yes,yes,39,106,26.15,111,10.48,103,5.3,9.2,6,2.48,1,no
1383,NJ,42,408,yes,no,0,127,30.72,94,14.84,114,7.44,12.0,6,3.24,2,no
1384,OH,134,408,no,no,0,105,34.46,90,19.12,108,11.43,12.1,7,3.27,0,no
1385,TX,66,415,no,yes,35,100,32.44,93,22.21,108,9.43,8.9,6,2.4,0,no
1386,WA,66,415,no,no,0,102,34.87,109,19.78,95,11.7,9.2,6,2.48,2,no
1387,TN,127,415,no,yes,28,124,40.05,113,20.13,127,10.85,7.7,2,2.08,1,no
1388,HI,146,510,no,no,0,77,32.18,128,13.25,83,8.37,7.4,3,2.0,0,no
1389,CT,77,415,no,no,0,87,41.68,83,21.6,91,10.77,7.5,4,2.03,0,yes
1390,NM,111,415,no,no,0,125,22.54,67,18.79,101,5.76,12.7,2,3.43,4,yes
1391,NJ,125,415,no,no,0,64,30.99,121,11.88,96,7.72,11.6,7,3.13,2,no
1392,AL,115,510,no,yes,14,86,32.69,90,7.54,120,10.32,10.5,3,2.84,2,no
1393,MN,115,510,yes,no,0,110,20.74,100,18.72,124,8.09,10.8,2,2.92,2,yes
1394,NC,114,408,no,no,0,101,32.81,81,21.25,79,6.0,9.6,2,2.59,2,no
1395,OH,106,415,no,no,0,112,26.96,114,18.7,106,11.38,9.1,3,2.46,0,no
1396,ND,118,415,no,yes,39,125,15.56,113,18.69,99,10.31,12.7,8,3.43,2,no
1397,CO,59,510,no,no,0,92,26.11,88,17.47,89,5.15,12.5,10,3.38,1,no
1398,ND,87,415,yes,yes,40,79,37.67,74,13.35,124,10.01,11.5,3,3.11,1,no
1399,NY,21,415,no,no,0,81,41.6,117,14.28,87,12.67,6.6,1,1.78,1,no
1400,WI,142,408,no,yes,24,103,40.77,65,24.3,106,11.55,9.5,4,2.57,0,no
1401,WY,62,415,no,no,0,132,29.31,100,19.59,109,10.27,11.0,5,2.97,0,no
1402,OR,149,415,no,no,0,83,41.23,97,20.86,80,9.88,10.0,3,2.7,3,yes
1403,CO,54,510,no,yes,39,82,19.99,60,13.53,113,10.64,11.3,10,3.05,2,no
1404,LA,112,510,no,no,0,127,29.67,71,22.04,120,7.67,11.3,7,3.05,1,no
1405,AL,68,510,no,no,0,83,26.74,85,18.78,129,9.85,12.0,7,3.24,1,no
1406,PA,88,510,no,no,0,76,37.09,60,14.39,99,6.35,8.0,1,2.16,1,no
1407,IL,85,415,no,yes,29,97,24.58,102,11.9,148,7.44,10.9,3,2.94,1,no
1408,DE,51,415,yes,no,0,108,26.11,85,19.8,92,9.64,14.1,4,3.81,0,yes
1409,MO,45,510,no,yes,29,104,23.09,101,18.91,92,10.6,7.9,6,2.13,2,no
1410,AR,116,510,no,no,0,69,27.32,106,12.48,144,12.95,8.2,5,2.21,0,no
1411,GA,133,510,no,no,0,90,38.66,135,6.22,99,5.14,4.7,7,1.27,0,no
1412,KY,125,408,no,no,0,115,32.57,108,17.48,123,9.46,9.2,3,2.48,2,no
1413,OH,72,510,no,no,0,111,23.61,102,17.99,91,8.08,10.8,3,2.92,1,no
1414,SD,97,415,no,no,0,87,28.66,105,22.03,123,12.59,7.3,4,1.97,1,no
1415,NY,54,415,no,no,0,73,48.72,108,18.97,107,9.17,11.5,5,3.11,1,yes
1416,TX,79,415,no,no,0,90,24.48,91,11.54,129,9.56,13.0,4,3.51,1,no
1417,WV,92,415,no,yes,47,95,24.07,130,17.67,95,9.16,10.2,11,2.75,0,no
1418,MI,59,415,no,no,0,65,34.73,123,21.02,94,9.66,12.0,4,3.24,1,no
1419,ND,132,510,no,no,0,80,27.74,90,14.25,90,3.94,6.2,10,1.67,1,no
1420,NE,21,510,no,no,0,110,38.25,111,20.76,93,9.95,10.7,4,2.89,0,no
1421,SD,93,415,no,no,0,103,29.94,130,16.97,96,11.88,8.5,6,2.3,2,no
1422,NJ,147,415,no,yes,36,78,43.21,105,19.39,125,4.41,13.8,7,3.73,5,no
1423,AK,101,510,no,no,0,105,29.73,75,22.27,93,9.45,8.5,5,2.3,1,no
1424,CT,125,415,yes,no,0,118,31.84,111,13.66,112,11.87,9.6,2,2.59,0,yes
1425,CO,63,415,no,no,0,84,36.01,137,19.63,99,9.77,10.7,9,2.89,3,no
1426,MD,107,415,no,no,0,102,41.12,117,10.79,92,8.35,11.7,6,3.16,0,no
1427,ND,110,408,no,no,0,103,33.34,123,16.97,71,6.12,12.9,1,3.48,3,no
1428,NH,83,415,no,no,0,100,39.32,84,17.88,106,9.78,12.4,2,3.35,3,no
1429,MN,117,408,no,no,0,104,27.47,119,16.69,111,13.27,13.8,2,3.73,1,no
1430,KY,124,415,no,no,0,103,32.98,116,20.49,153,10.24,11.9,5,3.21,0,no
1431,NH,115,510,no,no,0,148,18.65,87,19.02,96,10.81,15.4,8,4.16,3,no
1432,CO,156,408,yes,no,0,119,47.09,106,20.26,96,4.25,8.3,3,2.24,1,no
1433,KY,89,408,no,no,0,83,32.66,88,13.91,138,7.64,6.1,3,1.65,0,no
1434,KY,72,415,no,no,0,147,33.73,121,18.44,125,5.08,13.1,4,3.54,0,no
1435,IN,101,415,no,yes,42,82,35.56,74,13.57,100,8.17,9.5,3,2.57,0,no
1436,OR,53,415,no,no,0,98,31.42,125,18.39,116,6.35,18.4,3,4.97,2,no
1437,SD,116,408,no,no,0,119,28.53,123,12.07,128,8.58,7.3,4,1.97,2,no
1438,DE,78,408,no,no,0,140,23.66,113,16.27,125,12.89,11.8,3,3.19,3,no
1439,NE,56,510,no,no,0,84,20.67,115,14.05,95,10.98,8.9,2,2.4,1,no
1440,OH,123,408,no,yes,39,99,45.97,110,20.83,113,4.9,15.4,7,4.16,1,no
1441,OH,127,408,no,no,0,94,23.73,112,20.48,88,5.72,8.8,4,2.38,2,no
1442,AR,116,415,no,yes,23,78,43.01,121,11.81,104,12.5,11.8,3,3.19,2,no
1443,KS,138,510,no,yes,26,83,31.26,93,20.46,125,8.36,15.0,3,4.05,1,no
1444,TX,120,415,no,no,0,108,34.56,66,22.09,103,5.22,7.8,2,2.11,3,no
1445,WI,102,408,no,no,0,106,34.1,127,12.96,128,8.97,7.7,2,2.08,3,no
1446,OR,95,415,no,no,0,96,28.49,89,14.96,113,11.29,13.4,6,3.62,2,no
1447,VA,102,408,no,no,0,67,26.61,103,17.37,72,6.39,9.9,2,2.67,2,no
1448,AR,89,415,no,yes,25,140,36.57,69,16.78,117,7.29,10.6,10,2.86,1,no
1449,CT,50,408,no,no,0,82,51.29,118,14.2,89,3.25,10.5,6,2.84,1,no
1450,OH,93,415,no,yes,42,90,25.89,102,22.74,130,12.01,11.3,5,3.05,7,no
1451,WY,68,510,no,no,0,116,33.22,101,18.03,134,6.23,15.1,11,4.08,1,no
1452,IL,70,408,no,no,0,97,35.48,83,23.42,122,8.21,8.0,3,2.16,2,no
1453,MO,138,415,no,yes,29,87,32.32,123,18.97,130,11.53,14.2,6,3.83,0,no
1454,DC,141,415,no,yes,37,87,31.52,128,15.17,107,9.82,8.0,3,2.16,4,no
1455,MA,112,415,no,yes,17,95,31.14,125,21.49,95,7.05,9.7,3,2.62,0,no
1456,NH,117,510,yes,no,0,100,9.21,84,25.77,84,7.73,8.6,2,2.32,1,yes
1457,IA,1,408,no,yes,26,115,35.36,113,15.73,144,8.0,8.1,9,2.19,1,no
1458,AL,70,415,no,no,0,110,39.15,87,6.62,105,11.12,13.2,4,3.56,1,no
1459,OR,87,510,no,yes,22,102,40.94,106,6.45,115,10.11,7.1,3,1.92,2,no
1460,WA,97,408,no,no,0,82,46.94,106,17.09,73,10.41,8.9,4,2.4,0,yes
1461,NV,105,408,no,no,0,93,28.24,106,14.95,55,10.96,16.2,3,4.37,2,no
1462,SC,77,510,no,yes,28,117,23.1,102,20.78,74,9.34,11.5,3,3.11,4,yes
1463,NC,80,415,yes,no,0,122,32.15,92,18.97,116,12.11,13.9,3,3.75,2,yes
1464,NH,120,510,no,yes,43,117,30.24,70,14.88,117,7.26,11.5,4,3.11,1,no
1465,WY,54,408,no,yes,39,73,24.46,117,17.88,117,5.81,12.5,8,3.38,2,no
1466,FL,148,510,yes,no,0,138,25.19,123,13.57,62,8.88,8.6,3,2.32,2,no
1467,PA,119,408,no,no,0,115,48.81,99,13.54,86,9.76,13.9,1,3.75,2,yes
1468,NC,162,408,no,yes,26,144,30.55,129,18.54,105,9.55,9.3,8,2.51,1,yes
1469,MO,85,510,no,no,0,96,28.19,141,16.15,116,6.48,10.9,3,2.94,5,yes
1470,KS,101,510,no,yes,25,144,24.5,105,14.25,107,10.8,14.5,3,3.92,1,no
1471,KY,172,415,no,no,0,85,29.33,71,21.51,113,9.97,5.9,6,1.59,0,no
1472,DE,80,415,no,no,0,138,33.97,91,14.2,94,12.23,5.5,4,1.49,1,no
1473,WI,67,510,no,no,0,134,18.55,76,12.1,86,4.1,10.9,5,2.94,2,no
1474,CO,86,408,no,no,0,106,29.21,44,25.64,108,6.27,9.7,5,2.62,1,no
1475,NM,107,415,no,no,0,101,37.79,111,24.31,117,11.22,12.1,4,3.27,1,yes
1476,DE,133,510,no,no,0,102,41.79,90,22.5,103,5.03,11.2,7,3.02,0,no
1477,IL,116,510,no,no,0,110,27.98,103,23.0,109,10.37,8.0,3,2.16,0,no
1478,WA,63,408,no,no,0,107,35.99,77,23.09,108,9.15,7.4,7,2.0,0,no
1479,MA,119,408,yes,yes,16,103,25.02,96,13.61,120,8.28,7.7,2,2.08,0,yes
1480,OH,133,408,yes,no,0,103,43.3,80,21.44,103,8.01,8.0,3,2.16,0,yes
1481,TN,94,408,yes,no,0,113,28.92,94,23.1,78,4.98,8.7,4,2.35,1,no
1482,MI,146,408,no,no,0,83,25.38,130,15.9,100,6.74,7.9,4,2.13,7,yes
1483,TX,119,510,no,no,0,75,13.92,114,21.57,125,9.59,8.9,1,2.4,2,yes
1484,NH,142,408,yes,yes,25,109,32.49,120,12.72,60,10.25,9.8,3,2.65,0,no
1485,MD,123,408,no,no,0,115,35.17,86,19.07,60,8.88,8.3,2,2.24,3,no
1486,MS,101,408,no,no,0,156,40.63,106,23.21,93,12.52,13.5,8,3.65,1,yes
1487,AZ,43,415,no,no,0,97,30.48,126,21.48,114,10.24,8.0,5,2.16,0,no
1488,IN,69,408,no,no,0,91,31.5,88,18.62,107,10.96,5.5,5,1.49,0,no
1489,NY,15,510,yes,no,0,80,24.04,76,10.53,88,14.56,8.1,3,2.19,2,no
1490,WV,67,510,no,no,0,131,25.93,107,21.45,104,8.34,4.9,3,1.32,2,no
1491,NY,99,415,no,no,0,102,24.75,87,19.63,86,8.17,11.4,7,3.08,1,no
1492,OK,46,415,no,no,0,116,27.91,153,16.68,119,10.62,8.1,1,2.19,1,no
1493,NC,55,408,yes,no,0,115,37.57,97,14.06,117,10.59,9.7,4,2.62,1,no
1494,KY,39,415,no,no,0,126,50.22,117,19.73,123,9.2,11.5,2,3.11,1,yes
1495,TX,92,510,no,no,0,98,23.77,143,14.87,135,9.07,9.4,7,2.54,2,no
1496,CT,56,415,no,no,0,99,27.59,78,12.67,115,11.5,14.8,1,4.0,4,yes
1497,NE,76,415,no,no,0,97,46.36,95,20.09,105,10.6,7.7,2,2.08,0,yes
1498,HI,132,408,yes,yes,33,75,34.05,67,19.26,91,8.95,12.9,3,3.48,2,no
1499,AK,51,510,yes,yes,12,60,23.09,134,17.05,98,8.66,12.3,7,3.32,2,no
1500,SD,27,408,no,no,0,110,40.24,92,19.71,85,7.41,12.7,6,3.43,1,no
1501,OK,105,510,yes,yes,28,89,26.54,114,9.1,95,7.55,14.7,3,3.97,0,yes
1502,WA,117,408,no,no,0,93,32.49,56,24.04,118,3.82,12.0,4,3.24,2,no
1503,SD,91,415,no,no,0,123,26.01,127,11.99,76,7.72,10.3,15,2.78,1,yes
1504,OH,135,415,no,no,0,123,37.2,64,20.64,80,3.86,10.3,3,2.78,4,no
1505,WI,147,415,yes,no,0,111,38.28,98,15.72,146,6.44,9.9,1,2.67,0,yes
1506,IN,68,510,no,no,0,127,42.48,118,21.63,98,12.29,8.9,6,2.4,2,yes
1507,HI,86,408,no,yes,21,99,33.64,100,14.08,120,9.36,10.1,9,2.73,0,no
1508,KY,131,415,no,no,0,129,28.31,107,17.87,93,11.57,9.9,5,2.67,1,no
1509,VT,159,415,no,no,0,103,46.89,108,16.11,93,10.08,7.4,5,2.0,2,yes
1510,AZ,134,415,no,yes,40,105,24.29,61,7.53,96,13.05,10.8,6,2.92,1,no
1511,VT,113,510,no,no,0,113,35.22,80,21.76,87,9.49,9.9,1,2.67,1,no
1512,MO,132,408,no,no,0,100,35.05,118,17.95,122,8.83,10.2,6,2.75,1,no
1513,AL,85,415,no,no,0,66,35.75,76,16.64,82,9.97,11.2,7,3.02,1,no
1514,NJ,93,510,yes,yes,38,117,38.37,122,10.17,125,8.69,14.0,7,3.78,1,yes
1515,WA,174,408,no,yes,33,91,28.53,91,17.45,132,5.85,14.5,4,3.92,4,yes
1516,NY,61,415,no,no,0,118,33.61,96,12.94,93,9.95,7.0,3,1.89,2,no
1517,DC,91,415,no,yes,39,105,28.87,116,5.54,92,6.5,10.9,4,2.94,1,no
1518,NE,88,408,no,yes,28,104,32.4,105,20.17,116,9.52,9.8,1,2.65,2,no
1519,MA,88,408,no,yes,45,140,13.65,101,13.03,123,13.91,12.8,3,3.46,2,no
1520,VT,195,415,no,yes,36,110,39.39,88,19.13,89,9.08,12.1,2,3.27,0,no
1521,NM,182,415,no,no,0,114,11.75,109,19.58,96,11.55,6.5,4,1.76,0,no
1522,CO,118,408,no,no,0,60,32.1,64,18.48,100,9.9,8.2,7,2.21,4,no
1523,NH,103,408,no,no,0,125,25.6,126,14.37,104,9.95,10.4,8,2.81,8,yes
1524,IL,65,510,no,no,0,89,32.64,88,11.86,102,8.43,5.5,4,1.49,2,no
1525,UT,61,408,no,yes,25,78,27.83,112,9.62,118,6.03,9.9,3,2.67,3,no
1526,WV,172,415,no,no,0,100,35.99,101,16.89,136,13.58,6.5,9,1.76,1,no
1527,NJ,72,415,no,no,0,103,29.84,120,11.25,96,10.93,11.8,3,3.19,1,no
1528,NM,113,510,no,no,0,120,25.52,85,17.01,105,12.0,11.0,3,2.97,2,no
1529,ND,177,408,no,no,0,99,32.22,117,14.99,112,10.17,14.2,2,3.83,1,no
1530,NM,67,415,no,no,0,102,36.64,95,16.21,106,9.65,8.6,6,2.32,1,no
1531,DE,136,415,no,no,0,105,17.29,99,17.24,119,6.13,9.4,6,2.54,3,no
1532,GA,71,415,no,no,0,132,43.93,119,10.78,87,8.21,9.7,8,2.62,4,no
1533,HI,134,408,no,no,0,126,41.21,115,13.0,115,14.32,11.8,6,3.19,1,no
1534,CT,124,415,no,no,0,82,22.41,119,24.17,101,13.75,11.3,2,3.05,1,no
1535,NJ,84,415,no,no,0,102,32.33,141,16.8,102,11.14,9.8,6,2.65,2,no
1536,ME,39,408,no,no,0,104,26.2,112,17.36,92,8.83,9.8,4,2.65,2,no
1537,OK,110,510,no,no,0,127,31.96,118,7.69,64,6.76,15.3,3,4.13,3,no
1538,TN,102,510,no,no,0,70,17.53,129,23.38,92,6.35,11.2,5,3.02,1,no
1539,WY,70,415,no,no,0,130,29.82,130,13.56,96,11.73,11.6,4,3.13,0,no
1540,DE,81,510,yes,no,0,85,42.6,50,15.97,131,5.41,7.8,5,2.11,1,no
1541,RI,17,415,no,no,0,123,27.46,81,18.21,106,14.18,8.6,5,2.32,1,no
1542,PA,119,408,no,no,0,101,44.22,68,21.8,89,10.31,10.0,2,2.7,1,yes
1543,HI,105,415,no,no,0,124,47.82,96,25.63,109,9.13,8.7,3,2.35,0,yes
1544,MD,108,415,yes,yes,42,90,22.12,128,14.2,80,11.01,13.6,5,3.67,3,yes
1545,VA,90,415,no,no,0,118,17.34,134,9.63,105,8.49,11.4,3,3.08,2,no
1546,IN,100,415,no,yes,33,104,37.18,144,13.18,117,4.46,12.1,4,3.27,1,no
1547,OR,155,408,no,yes,30,86,21.85,91,16.01,85,11.45,6.8,6,1.84,1,no
1548,AZ,113,510,no,no,0,100,21.88,67,19.3,135,8.01,9.2,4,2.48,2,yes
1549,WI,123,415,no,no,0,92,29.27,76,13.82,101,11.26,8.7,4,2.35,1,no
1550,VA,145,408,no,no,0,124,33.86,86,10.71,135,13.01,7.6,3,2.05,1,no
1551,MO,42,415,no,no,0,98,31.37,93,17.04,91,12.56,8.8,3,2.38,2,no
1552,NV,125,510,no,no,0,99,28.66,107,14.93,92,10.95,10.9,7,2.94,0,no
1553,HI,131,415,no,yes,30,118,29.58,81,17.45,90,9.82,6.7,3,1.81,1,no
1554,WA,107,415,no,no,0,65,39.17,80,21.88,88,4.83,8.5,3,2.3,1,no
1555,IL,48,408,no,no,0,73,33.69,115,17.24,73,6.59,5.1,5,1.38,1,no
1556,WI,73,415,no,no,0,109,26.71,83,22.85,91,8.17,10.0,8,2.7,0,no
1557,TX,52,415,no,no,0,110,26.35,104,11.34,84,7.92,7.0,4,1.89,4,yes
1558,MI,126,415,yes,yes,26,123,21.98,114,15.0,102,6.95,9.6,7,2.59,1,no
1559,NC,124,415,no,no,0,77,32.05,123,15.47,127,9.82,6.1,6,1.65,1,no
1560,ND,71,510,no,no,0,82,40.46,94,23.67,134,8.69,11.8,10,3.19,0,yes
1561,NE,139,415,no,no,0,103,35.89,108,17.59,70,8.73,5.6,4,1.51,0,no
1562,MS,107,510,no,yes,30,87,33.81,90,17.6,76,7.19,12.6,4,3.4,3,no
1563,KY,147,408,no,no,0,79,36.18,91,17.35,113,7.03,10.2,2,2.75,1,no
1564,NY,60,510,no,yes,31,75,32.61,135,22.76,62,9.02,12.8,3,3.46,2,no
1565,TX,38,510,no,no,0,92,25.33,78,4.18,93,7.35,13.9,11,3.75,0,no
1566,NM,94,415,no,no,0,79,18.36,152,20.56,92,11.34,10.4,3,2.81,3,no
1567,RI,131,415,no,no,0,133,19.18,116,16.95,105,6.42,10.1,5,2.73,0,no
1568,MS,158,510,no,no,0,105,29.9,88,16.01,98,8.47,11.0,6,2.97,1,no
1569,NY,139,510,no,no,0,109,40.22,107,14.44,118,9.55,11.1,2,3.0,1,yes
1570,KY,72,408,no,no,0,97,30.11,105,15.7,94,7.83,8.0,6,2.16,1,no
1571,SD,52,510,no,yes,20,63,22.66,123,15.65,107,12.28,13.5,2,3.65,1,no
1572,VA,103,510,no,no,0,121,28.53,123,18.1,73,9.37,13.0,3,3.51,5,no
1573,CO,85,510,no,yes,21,110,48.14,108,20.37,80,6.73,6.3,1,1.7,5,no
1574,KY,113,408,no,yes,20,83,26.83,56,13.73,100,12.22,8.7,2,2.35,5,yes
1575,WA,71,408,no,no,0,132,24.0,90,12.67,72,7.71,7.0,2,1.89,2,no
1576,NV,177,415,no,yes,27,106,39.13,78,16.67,108,9.69,10.4,2,2.81,1,no
1577,SC,49,415,yes,no,0,92,40.43,119,17.76,86,7.55,15.6,6,4.21,2,yes
1578,RI,106,510,yes,no,0,84,34.68,61,14.32,102,7.38,13.3,3,3.59,3,yes
1579,ID,60,510,no,no,0,106,37.59,48,15.18,90,9.12,7.4,3,2.0,1,no
1580,KY,43,408,no,no,0,93,30.12,60,12.12,144,14.13,12.7,2,3.43,4,no
1581,ME,66,510,no,no,0,133,20.06,99,21.09,122,9.65,5.3,5,1.43,1,no
1582,SD,125,415,no,no,0,73,27.85,85,21.73,95,8.68,15.7,4,4.24,0,no
1583,SC,114,510,no,yes,4,96,24.02,88,19.58,85,10.07,9.4,3,2.54,3,no
1584,MT,101,408,no,yes,16,112,20.21,97,19.41,111,8.1,8.2,5,2.21,2,no
1585,WI,70,415,no,no,0,100,1.34,83,11.59,89,7.05,12.1,1,3.27,0,no
1586,AZ,59,408,no,no,0,70,25.53,98,15.78,128,9.56,12.1,2,3.27,1,no
1587,DE,99,415,no,no,0,88,23.92,98,17.93,125,10.35,12.4,4,3.35,2,no
1588,VA,150,510,no,no,0,123,28.76,83,18.43,107,8.07,12.6,3,3.4,1,no
1589,MA,81,510,no,no,0,77,37.54,87,12.62,100,8.28,7.6,3,2.05,2,no
1590,IN,86,510,no,no,0,96,36.77,77,22.64,110,9.63,4.5,3,1.22,0,no
1591,MD,84,510,no,no,0,96,28.82,94,13.4,70,4.42,10.6,7,2.86,0,no
1592,NV,118,510,no,yes,35,119,43.57,91,21.94,130,9.7,11.7,1,3.16,1,no
1593,CO,89,415,no,no,0,128,30.55,92,25.48,120,8.34,7.6,3,2.05,1,no
1594,KS,93,415,no,no,0,120,45.22,84,11.06,63,7.46,13.1,6,3.54,3,no
1595,AR,85,415,no,no,0,97,16.44,95,16.47,88,7.73,9.7,3,2.62,2,no
1596,PA,28,415,no,no,0,87,28.59,92,13.74,112,8.66,10.1,3,2.73,3,no
1597,TX,73,408,no,no,0,109,48.69,67,15.15,152,9.64,10.7,14,2.89,1,yes
1598,NY,156,408,no,no,0,95,29.63,128,15.86,105,11.62,12.9,5,3.48,3,no
1599,OR,33,415,yes,no,0,100,32.4,104,13.74,136,8.55,13.0,6,3.51,1,no
1600,CA,77,510,no,no,0,86,29.84,78,17.43,100,11.03,17.8,3,4.81,4,no
1601,NY,119,415,no,no,0,102,22.68,71,17.39,103,8.86,11.1,7,3.0,1,no
1602,AR,91,510,no,yes,27,96,34.78,93,11.56,82,9.47,6.6,2,1.78,3,no
1603,MI,102,510,no,no,0,88,41.17,89,19.82,121,8.48,6.2,6,1.67,3,no
1604,OK,86,415,no,yes,33,112,43.03,94,17.86,98,4.27,11.9,4,3.21,3,no
1605,TX,82,415,no,no,0,110,22.1,88,15.75,105,8.04,8.3,4,2.24,0,no
1606,NC,89,408,no,no,0,151,18.0,142,16.12,67,7.69,12.7,7,3.43,0,no
1607,ID,86,415,no,no,0,98,33.01,95,16.47,123,8.64,9.3,7,2.51,3,no
1608,IL,134,408,no,no,0,111,31.25,92,10.5,105,7.23,6.1,2,1.65,1,no
1609,OR,92,415,no,no,0,82,33.41,89,16.15,99,7.34,10.8,2,2.92,2,no
1610,SD,87,510,no,no,0,81,31.37,103,14.62,96,8.25,13.7,3,3.7,3,no
1611,NE,64,408,no,no,0,113,44.52,99,12.59,74,6.53,13.8,4,3.73,0,no
1612,RI,80,510,no,no,0,118,34.41,67,22.12,112,7.98,9.2,5,2.48,3,no
1613,MD,165,415,no,yes,39,113,28.46,94,14.68,113,8.67,9.5,4,2.57,3,no
1614,SD,108,415,no,no,0,78,40.83,109,19.58,83,9.76,5.2,1,1.4,2,no
1615,NY,104,415,no,yes,26,112,32.15,97,15.15,104,8.97,11.1,4,3.0,1,no
1616,DE,115,408,no,no,0,67,21.71,90,15.55,92,7.78,10.6,7,2.86,1,no
1617,OK,87,415,no,no,0,106,34.88,122,8.46,75,8.53,13.4,3,3.62,1,no
1618,SC,159,415,no,yes,23,93,26.11,88,18.44,91,7.26,12.6,3,3.4,2,no
1619,NV,69,415,no,no,0,109,26.13,105,16.49,114,11.52,14.1,6,3.81,1,no
1620,IL,87,408,yes,yes,36,138,29.1,102,15.79,97,10.24,10.8,3,2.92,1,no
1621,SD,93,510,no,no,0,106,55.78,89,12.89,114,13.66,8.7,3,2.35,1,yes
1622,OK,154,415,yes,no,0,69,24.8,141,17.7,106,8.14,14.4,10,3.89,0,yes
1623,NJ,151,415,no,no,0,128,20.21,65,23.66,61,8.77,13.2,10,3.56,2,no
1624,NJ,162,408,no,no,0,87,36.99,71,23.72,65,11.28,10.4,4,2.81,2,yes
1625,MT,60,415,no,no,0,133,24.65,92,17.77,112,14.78,14.6,2,3.94,1,no
1626,IA,81,510,no,no,0,89,34.6,69,24.62,71,9.58,8.7,3,2.35,3,no
1627,WA,132,415,no,no,0,115,40.82,91,15.33,122,6.0,8.0,6,2.16,3,no
1628,NE,86,408,no,no,0,121,14.25,96,20.42,108,7.14,6.7,8,1.81,1,no
1629,MS,121,415,no,yes,21,84,21.47,102,17.82,129,8.66,10.6,2,2.86,1,no
1630,IA,105,510,no,yes,15,125,14.98,142,14.95,85,12.15,9.7,1,2.62,2,no
1631,MT,51,415,no,yes,26,61,40.26,97,22.39,91,8.15,11.2,8,3.02,1,no
1632,GA,64,408,no,no,0,117,21.1,108,16.39,84,7.33,6.4,5,1.73,3,no
1633,MT,80,510,yes,yes,30,132,31.31,109,14.24,114,9.58,10.0,10,2.7,0,no
1634,ND,56,415,no,no,0,133,37.86,89,23.55,94,4.58,13.6,4,3.67,4,no
1635,VT,120,415,no,no,0,98,25.36,88,16.46,119,11.2,11.1,5,3.0,1,no
1636,SD,103,510,no,no,0,125,35.11,113,15.32,95,9.93,12.2,4,3.29,3,no
1637,OH,164,510,no,yes,27,102,27.15,113,14.35,127,10.98,9.6,9,2.59,3,no
1638,OH,116,415,no,yes,27,118,34.8,91,17.8,67,9.58,7.0,2,1.89,2,no
1639,MT,121,408,no,no,0,79,36.24,116,10.26,102,11.0,7.5,4,2.03,1,no
1640,IL,55,415,yes,no,0,121,45.83,91,14.59,98,9.86,8.2,6,2.21,1,no
1641,NV,183,415,no,no,0,92,19.84,112,18.17,112,9.64,9.7,6,2.62,2,no
1642,UT,104,408,no,no,0,101,44.78,117,20.02,146,4.59,13.0,4,3.51,0,no
1643,NH,90,408,no,no,0,97,23.83,102,18.18,126,5.4,7.1,2,1.92,1,no
1644,LA,82,415,no,no,0,101,33.61,83,10.85,103,6.39,13.5,3,3.65,1,no
1645,VT,101,415,no,no,0,92,23.15,110,18.78,116,8.86,13.3,7,3.59,3,no
1646,NY,9,415,no,yes,16,87,15.05,108,15.2,96,10.29,11.5,3,3.11,2,no
1647,CT,97,415,no,no,0,58,36.6,91,20.6,105,12.59,12.1,9,3.27,0,no
1648,KS,94,408,no,no,0,104,45.76,144,16.47,61,11.59,8.9,2,2.4,3,yes
1649,MI,127,510,no,yes,25,118,34.65,48,22.7,105,10.13,7.3,5,1.97,0,no
1650,ME,140,415,no,no,0,104,27.05,106,22.93,116,9.92,10.3,4,2.78,1,no
1651,MD,90,415,no,no,0,122,19.45,154,10.85,109,11.39,10.1,5,2.73,2,no
1652,VA,67,415,no,no,0,65,23.61,109,17.76,82,10.46,9.2,3,2.48,2,no
